ResponseID,PROLIFIC_PID,ptp.race,open.16
R_RjWIFUbepZLNDjP,5ed67ff47f3ee30bb86925f5,white,Systemic racism and other biases absolutely negatively affect opportunities for minority groups of all kinds. Explicitly pursuing diversity as an objective will be one step toward overcoming the hurdles faced by underrepresented groups.
R_27O297dKg7vcRMQ,5c6f97ffd8ae4f000192fe18,white,I'd like to see more diversity in society; prop 16 is a way to get there.
R_WrMCagrilqShNMR,5f7ca2c97160b3106e3d3bc9,white,very good.
R_2ONm7UT6zTS4xTM,5efe548891a150356a495afd,white,"Some groups have been historically underprivileged, and they need a chance to gain equal opportunities to all Americans."
R_2AMxOvxTu2OtVon,5a282206b279aa0001b0e002,white,I believe that it will help increase diversity and we desperately need that.
R_W68kiBDksMDyfAt,5e2b74daae56b71b9d24d89b,white,That was around in the past. Several people objected because it treats people differently and was not constitutional. People should be treated the same. 
R_1erTBLSUhSMIFE5,5c284ae48e845b0001fc40aa,white,These things should be used to help ensure we have a more equal society.  They should be used to ensure the universities/work places are as diverse as they can be.
R_2w4zGdkQtvxVI5c,5ced21c87afd86001734a840,white,"I think people who are minorities are already biased against with systemic racism. If we can give them a leg up in some chance so they can have equal footing, let's do it!"
R_9sk0CPlBHFTxOJX,56f2319af2df32000d8fb1a4,white,I think it would benefit the California population greatly if these people could apply for jobs and not worry about whether their creed/race/sex was a factor and instead their skill-set and experience were the only benefactors. 
R_2ztI24gYuBnbNuC,5ec2d17cce4b500f16cca09d,white,It will ensure equitable distribution and equal political  representation of different races.
R_2QlGgN69llJ07RI,5dcecc2d1986eb01a449f4e4,white,I do not believe race or gender should be a factor is making policy decisions 
R_31RckgqptLAoHwo,5f0df6c9b64b5107b88cbd4b,white,"I will support it because minorities tend to start out in unfair positions in life. If it helps then even a little, then voting yes will be worth it."
R_3suLA2DT8vF5Pjj,5f4bc363e36f910753f37bdc,white,God created us all to be equal.
R_r28wX7TdpDrHBjb,5f48315cfca4702d7ac1b08a,white,Yes Agree
R_1JVZek0iwO0KV3U,5e16fbb7a01d35000ec8868f,white,Because i think they are some interesting and they can be good
R_0TUquyVDJk7CtqN,5b101f7830d562000155a139,white,"This is just opening the door to letting people make judgements that are descriminatory and racist. Race, ethnicity, sex etc should not be a consideration or factor in employment decsisions. Government should not be playing favorites with identity."
R_XiVMjswc7OB2wdb,5eaeeb288d10425b584e730a,white,This is a form of racism and decriminalization. California had affirmative action and it was outlawed several years ago for a reason. There is no reason to bring affirmative action back because it was shown to be an ineffective policy.
R_CjLGlFrDV1qqLCh,5edfa689cf157d28a152a1d3,white,"The employer should have a free choice as to who he wants to hire, the policy should not influence private business."
R_AvUENQt2jldkWOt,5f4c904e611c2f000bc7abd5,white,Proposition 16 would remove the ban on affirmative action involving race-based or sex-based preferences from the California Constitution.
R_2qz2T8tpVlzr0Pr,5c29096f36efd800010f4018,white,"I support Prop 16 because it will allow minorities to have an advantage compared to their previous situation, where they were pushed down."
R_1Cr0YYF1YN6cQ4E,5ce33b8cc1abd0001b612669,white,I believe that minorities are not given equal opportunities in general.
R_AMYZ4q2JM2uby4F,5d05417d1a34960016e7457a,white,This protection has been in place for a long time and it has provided comfort to minorities that they can't be discriminated for diversity reasons. Taking it away would be a step backwards
R_234xdoMHebUqKTn,5c91658e319e1200014f6f9b,white,I think that ability and experience is the only thing that should matter.
R_3pg0wVQQYBRjOYG,56b61b915cd743000e6e01c5,white,I think that some minorities are greatly underrepresented and this would help solve that problems
R_2c5ufm0G9Zl2Ypn,5e120e1c1306448964d19bbd,white,"I DO NOT THINK THAT IT IS A GOOD OPTION FOR ME, FROM MY PERSONAL POINT OF VIEW."
R_3LYIJyOg7HH0CKx,5b5a822e1ad8270001c4f28d,white,I support this because we are all one race that needs to be together for the greater good in this country. 
R_5iDftT9aMFmwPGV,5dd44f9d83e30943db0de0aa,white,The system right now is set up to favor white men. Until that system is dismantled it will always  act as a barrier to others.
R_2Yg4EXFklXImuBb,5f3c249a94c2f144b8addd69,white,"I do support the policy because of the long term benefit it will serve people from different works of life and background. Owing to the fact that blacks have been marginalized by whites over the past few years, this will serve a good purpose to watch against future occurrences."
R_3mjDldICAktHVPq,574cca765e5491000f3c89e0,white,Society needs to work to get all voices heard and have a fair chance.
R_1kH52CEw1014qnd,58d7896b4240e5000118f705,white,"I am in general pro diversity. I had a couple of moments of hesitation about this one, because I wonder if it just opens the door to a more precise discrimation."
R_eVD25nNBWQZhttL,5e10d288a2c6967a2c655aad,white,"Affirmative action undermines the credibility of minorities in the workplace. Categorizing and privileging anyone based on race cedes an awful lot of ground to the underlying assumptions of racism. I would strongly prefer that inequality be addressed on the basis of class instead, as this would also have the desired effects for racial, gender, etc. minorities."
R_AdPf6UoJW2oRUoF,5f2a299bad74561fe63f829d,white,There are groups that of people that will benefit from this. We need to help these groups of people. 
R_UGU2t7XnmgZBSwN,5cbb78d664170f00011d7c4f,white,N/A
R_31uvIsZMXK6HBM3,5a1efc2b517dfb00013dd370,white,I think that decisions should be made based on ability and not to fulfill a quota.
R_2CJTouScOjfuQn8,5c735293742d0d0001115f83,white,"I support Prop 16 because we live in a racist, unbalanced society. This measure, which used to be called affirmative action, would help give balance to the hiring process."
R_1QmQXnEu8wvPaYD,5c72efa770d5a200018028f1,white,This seems to be the correct action to take in this coucumstance
R_rqZVVTTmWARsf7j,5f6d9af99c3201203224f9a8,white,Cause they make it easy and equal
R_2TzbDPOukjGggQQ,5ef4d8b87faaa00c0dea0c4e,white,"I believe that this Proposition will result in more diversity in the workplace.  Right now, we are essentially supposed to ignore one's race, sex, etc. in hiring decisions. While there is merit to that, it doesn't encourage and allow for diversity in the workplace.  By allowing diversity as a factor, I believe that more minorities will be hired."
R_3lFCl6Mn4M1j9Fk,5f7b71272569711300097d0a,white,I think it would be better for us.
R_6FlA4SVIZP2mp33,5f3d6fe7f45da810b63bdfde,white,Diversity always works better for the common good!!
R_OI4egliChgcCohz,5f33f5c671dbfc2622aecda4,white,This law looks like it is opposing an unfair racist law from the old days. Let's hope it removes the systemic racism that the previous law supported.
R_3CZyw1jDEFTR6QJ,5f4eed66e4fe3814c361d104,white,"I think that institutions that are funded by the government, should look like the people they represent.  This proposition allows for more diverse hires that may not meet traditional 'qualifications'.   I have found that in hiring some of the qualifications are not related to being good at that job but related to being a culture fit and maintaining the status quo and so many women or POC's don't fit.  Ideally, this wouldn't be required in order to have a representative workforce, but given the way society is structured today, we need adjustments to push for equity.  "
R_2qeg9w0FIYFIkFs,5f2c8224fe28eb1733a4c293,white,I don't support this proposition because I think it would harm my own chances of success.
R_vHspVBG3Dd0sMJb,5ec2ccabec26b70d7d0be8d5,white,"This proposition has no cost and its result is highly dependable of future choice but one person's qualities and skills can't be measured by race, color, sex or ethnicity therefore neither should the consideration for one job be"
R_2WBEB3PN1ueCht3,5c90572e1bc01a0016149f0c,white,I support it because positions shouldn't be held by one specific group.  It should be held by a few different groups.
R_xmSS0OoR7SWgmLn,5d8a4a5b57f2f50001906436,white,I support proposition 16. I an for this proposition as I am for affirmative action. 
R_2wzVl1XlojgLaZt,5f6e5225faad4d36be85e525,white,It should try to make all people be seen as one instead of seeing them as two different group
R_veRQxHYDmFCxDQ5,5bd0d9bf25db7b0001786a5b,white,"It's discriminatory to people based on race, sex, color, ethnicity, and national origin."
R_1Q9rCG9irEAKRfg,5e83b43765a5720e30b71b37,white,I do not think people should be hired based on their skin color or gender but rather based on their skills and capabilities. It is racist to hire someone because of their race.
R_126ncy3YeJ9K7vt,5f565acec4a5d206ffea02be,white,I dont support the proposition because decision making should not be based on races sex and national origin 
R_306ravjEmgNJc9J,5f5d2df38a2d03565d612019,white,I support CA proposition 16 because it will help the society at large and make everyone to be happy based on allowing Diversity for different groups. 
R_1o8akQV48zB0hDd,5f477c8211a04015ebd8a8b7,white,"If you want a better place to live in, then it won't be possible without diversity. I believe each thing should be kept as it is on our earth. Diversity brings the harmony that we want. That's why I support it."
R_2q3pNmxPqmYUjAJ,5c0968ef600aff0001d707eb,white,It seems like it will help minorities with things like college admissions and hiring in public agencies. I don't see a large negative side to it and it would help build a more diverse future for CA.
R_2ylutL2EZKTJCDp,5f4b3db4022f3f5eff00d4b3,white,"I feel as thought the more I hear about this clause in prestigious universities, the messier, and more lawsuit-ridden this diversity-desire becomes."
R_2ZOJfWRpzddDWMJ,5f39433e518ae24a53d11c92,white,Prefer not to answer.
R_2Y9fJMO7KdtFnz5,5f74e20fa3ac7411f3d36c23,white,I support CA Proposition 16 because I think the Government will definitely take right decisions for the people of USA. 
R_2qmABYJPXsLXOZ3,5c1150e31e7d6900018207ef,white,"I can picture being able to assign someone to a position within a group that might better respond (by virtue of shared characteristics, background, and understanding).  The outcome could be more productive because of the ability to make that choice.  However, it would have to rely on the ethical approach of the entity making that decision and the lack of such ethic is what drove the prohibitive policy in the first place.  Now I am undecided."
R_21uBCcUZ3AOHo9p,5f0c8b73bf73570e4b253b23,white,"This proposition requires me to trust that the government is intending to make hiring practices more fair. However, making quotas that determine who should receive special treatment won't improve the ability to government to function. Instead, it will make it possible for less qualified candidates to be hired which, I believe, isn't fair. "
R_3iJyW1acpzWq29U,5f0e08d6cee7a90b940fb9ab,white,"I think this steps in to create over-regulation based off of felt societal perceptions, and not fact-driven societal needs. People who are good at jobs should get those jobs. Period."
R_AATsmxmHGcER4Fr,5e9f35eb9286a70b49a849dc,white,CA Proposition 16 Amendments to the legal constitution will give something better
R_1FFkNHp6771xCXH,5f5cd697c6768e4f4e998fa1,white,i think that is good for any citizen of CA.
R_D97ftKgdsl6ORc5,559fa17cfdf99b69c369d364,white,As I understand it I think it is always better to promote diversity. The government needs to step in more in this racist shithole of a country we live in.
R_30pB9GiYV2KPMwR,5e0d256753e8464d64940925,white,I support it because it gives under represented groups a fair shot. Hiring is already tilted in favor of white males. This simply tries to level the playing field a bit.
R_yx2f3wNhbEJKSRz,5b934df3754b700001f02469,white,I think it will probably hurt minorities 
R_3oAWVx7Ztnf4LXu,5dc797a6a4cc4255f8ea588e,white,I believe that we should support communities of color as when you account for all other factors and have the same candidate it makes sense to allow diversity as a factor because minorities have likely faced more difficult challenges than a white person.
R_3fxbQMWopR94Ioa,5f7eae7f2dbd401988c4cffa,white,diversity should be encouraged in all areas and everyone given a chance to succeed
R_wNV2qqP3s7oUlIl,5ef54b31234db61ac1c7fdb0,white,"I think it is perfectly reasonable to use race as a factor in admissions to very prestigious universities while allowing everyone who truly wants an education to get one free ok f charge. No one is harmed, because for a long time there was bias in admissions in the opposite direction"
R_XgGxhfd2Hd2wIHn,5d519e714d044f0001b6826c,white,The only factor that should be allowed in this instance is: is the person qualified for the job?  There should not be any other factors involved in hiring.
R_3JkkXXbpHGxfgQh,5db7bd876c5fc8000adcc2ba,white,It helps minorities get a fair chance.
R_3ijPYxxImeAN1zw,5e1c138a2bf9514062e4de6b,white,To help close the gap in racial equality. 
R_1mf9VLJv97folho,5d0011354dbc81001aaa717b,white,I don't fully see the point. I feel everyone has a fair shot already.
R_3DhCpT5hbMVXT6F,597a66525ea29d000126efbe,white,I am not sure the overall effects this could have so I would just need more information to see the potential benefits and downsides.
R_Dk53U5ZRRM3wI7v,5f72e9dc0961e3000a3c515b,white,"I'm surprised by the lack of support, particularly among Democrats and other Prop 16 is one of two measures directly affecting education on the ballot.“California is one of just eight states that do not allow race or gender to be."
R_3HtTdaXELPudcuJ,5e2f3b0ea8f8534fbad2c251,white,"I do not support this measure because I feel that it actually paves the way for racist policy. Individuals should be considered on account of their merit, not given special privileges because of their gender or color of their skin. The best person for the job should be the one that gets it and it shouldn't matter their ethnicity or sexual orientation or anything else about them.  "
R_yWGQW59zYN6NuYV,5a9e841089de8200013f28d3,white,"I believe that the state treating some more valuably than others is just simply wrong. This opens the door for some groups of people getting favoritism over others, which is something we should avoid."
R_3G1VXCLohpRr6iq,5a7f44ec8fe2dc000105c9b0,white,"Well, belonging to Hispanic minority group, I feel this is one of the major changes that will help not only us but all other people other than Whites in our country who are being discriminated for what they are. And after seeing the recent events happening in US, I feel this is necessary and I support it."
R_oZhSzQXEauQBjlT,5e38e79295ff561112eae457,white,"I don't have a problem with the goal of Proposition 16, but I am not sure it is necessary and may cause resentment among people seen as losing out because of it."
R_prCNBVAPqytEdc5,5ce718b96c7e0c0001ebee0b,white,I believe that in this way some important factors associated with race and ethnicity can be taken into account when making important decisions.
R_cHNCeHTPt3W23Pr,5cb60f1eefd4130001bbfdb7,white,"i support so that underrepresented races, sex color ethnicities tec have a chance to be represented"
R_20S5TaaBIjmSzI1,5b6872f33ffbf200015434ef,white,this can permit minorities to have better opportunities.
R_e3yViM8YxTleJuV,5f47f19248a89010ebae8705,white,"I support this ballot measure because I believe diversity needs to be a conscious factor.  We can't be ""colorblind"" because these biases clearly exist and are harming underrepresented populations."
R_2doR6rPs6r9vbhc,5f0d4c9c6fe51f000a31d0a2,white,"Proposition 16 is what we need to further diversify employment in the workforce of today. I think if this proposition were to pass, many minorities would benefit significantly from this new diversification law."
R_2v62GkZCHoOBGuU,5eec780232fae0000b70b506,white,"I'm all for inclusiveness, but you shouldn't be favored in getting something purely because of the color of your skin.  This works both ways in that I don't want it to be purely white or purely non white.  I want the best person for the job to be the one that gets the job.  If it's all white or all non white, it shouldn't make a difference.  The most qualified people should be where they need to be."
R_2WuHrSXBxQ4w5yJ,5f5efba6dd0e6e00095098d5,white,"Of course I support it a bit because I think if it is implemented in the interest of my country, my country will improve."
R_2rjTL0r2Lygd74A,5f469ab2d8292a02852c0a0b,white,I Like it
R_2E1d1U8PnQLfZqX,5e1545d9b1fb05b6369d13e8,white,"People of color are often discriminated against when it comes to hiring decisions and contracting decisions both involving the government and not, so this is seeking to address that in a positive and constructive way."
R_1f10eaFRO3ndf7J,5f660b41e158dd081f6f67a1,white,Because it serves the greater good
R_WlfCNw3V8vJEIHD,5f480b81e3554b1595aede7a,white,There is a known and studied bias against minorities of all types in the hiring process and it the decision-making process. Any attempt to rectify that should be applauded.
R_pc4Unmjqp9t8hmF,5e3c6f48194a5205dc5fe366,white,"Minorities are unfairly regarded in this country when applying for jobs, and this would hopefully level the playing field somewhat."
R_1Lv8Jddq64hx7hL,5f527a5a4af6f352d28b53e8,white,"I support this because I do believe races that play a part in more things than we know. Oftentimes we try to pretend we don’t notice color, but it is better to acknowledge it instead of ignoring. "
R_2wFy3wfg5Fbrv3q,5d98da42d6e56402c6b911fa,white,"I think race, sex, color, ethnicity, or national origin shouldn't have anything to do with how you hire.  By doing this you are excluding someone who may be more qualified while giving a minority a place"
R_2pQePcELWJYbFkB,5d89c4dd68f9d60001a21500,white,"Race, sex, color and ethnicity shouldn't matter because in the end everyone is human. "
R_3oZKjevZBvsjxHf,5f554aebf8ea7c11938463ae,white,"The racial minorities should be given a chance to succeed and prove their worth. Therefore, I support diversity inclusion."
R_2PzKFizicS9MGBf,5e56457f6370ba0184e041b4,white,N/A
R_p035W7ZH3Uih36p,5f5b8fb75b1a182eed13e980,white,CA Proposition 16 will help to correct a specific from of discrimination.
R_XiijR5Ii26QMgrD,5858c6178604ae000165e66a,white,I would support prop 16 because all it says to me is to consider minorities to address diversity. Does not say the government has actually forcefully hire minorities over best qualified person. 
R_1IEigjNPbpVwp22,5f3b4854ac7ac783ce22070e,white,I support giving everyone an equal and fair opportunity at life! No matter what race or ethnicity!
R_3GE3A2RpVTmijlc,5e3ac3c24531882d5a0728ed,white,I think somewhat this decision affect positively 
R_3e4aVxDTVccqVHJ,5e814f98193c1983e819818f,white,"I dont think race, gender, sex or ethnicity should even be an option on an application.  I think that should be completely anonymous.  I feel like people should be considered for schooling and jobs based on their qualifications,  and not who they are! It is very unfair to consider someone because you need to meet a quota or you get incentives."
R_2CJUyjyafMQFjlt,5e0658dda2c6960472c1d519,white,"I'm worried about the effects of making employment and education decisions based on race  /  or gender or ethnicity, even if for a good reason. While I see the effects of systemic discrimination, none of those features should have any role in those decisions. "
R_BwWFtiE9xs3wdIB,5f404f19fb3a5f18232d2d0d,white,Yes best
R_eS9KBCkj24cOJFv,5f5e716a126c920f81ea4e14,white,No because I dont want policies to only  apply to one group of people
R_302k6TiOKVg5mEg,582c96d8deb7170001db051a,white,"People spent decades fighting for civil rights so that all genders/races/etc could be considered equal. This would be taking a step backwards and would cause more problems, such as resentment between races."
R_bKPf74io1l1ZPsl,5e2360162828c461a8000585,white,"I support Prop 16 so that minorities who have been systematically shut out of many lines of work, education, and running businesses get a chance to work & gain experience in those fields. "
R_6X7W8YM9jmkZklP,5f769b911d73e803b7b0b833,white,This reminds me of Affirmative Action. I do think minorities have barriers against them that may restrict access to some opportunities and that bias exists against them. I do support a policy that seeks to help equalize this. /  /  /  / 
R_rlQmXFwlA4vvW2l,5f0eb946d1dcf121645216d6,white,"I do not support this. We have enough division in our world today regarding culture, sex, and color. I don't see why we need to keep hammering this topic. I believe it only creates more division. "
R_24PlpfL2gTmbanb,5edbdb8d19fa7f8717e17104,white,It will good for everyone. 
R_Qfw8SegnYyYybhT,5f296d406b6c5204f705e10c,white,Will better for the society.
R_3M6iJp0kAk8jsMq,5f69ca3d8553b6000a2715ff,white,"Being a homosexual and living in somewhat a homophobic society, such an enactment would affect folks like myself. Which is why I don't stand for it"
R_417mMUOVFMkzVHX,55b53384fdf99b2b69c82509,white,There are far too many factors that hold back minorities in this country and they don't get to play on level ground most of the time. Any sort of help to get them more representation is fine with me
R_29fZY1QLABQ1JyT,5ef0d0a8074e4c413a113a68,white,"I do not support CA prop 16 because it gives the right to discriminate. Everyone should get a fair shot, to getting a job and should show their hardwork."
R_1OB26bEIxCBqmnA,5c3d4b92486a390001e87dfe,white,"In an ideal world, meritocracy should reign, rather than some sham and elitist attempt to equalize conditions. The view that all things should be equal for all people is valid, but the  attitude that certain genders, races, and other non-chosen characteristics intrinsically mean that a candidate does not have the ability to compete on merit is condescending and harmful. /  / Prop 16 leads to persons who may be the most competent candidates being turned down in favor of a characteristic outside of their control. In its way, it is as bad as turning down the categories being ""helped"" by choosing against them. It should not be a consideration."
R_sp7YhFPbOUY1JoR,5f56352c25314d0108159415,white,Very Helpful
R_3qEEq5HTi1WXDPK,5add3b1c066c510001d41eb6,white,"This is a tough one, but affirmative action seems to be a positive. I usually think of college admissions when I think of this and the fact that I went to a pretty good high school in a pretty good school district certainly helped me out, and I would want then poorer people to have the same opportunities as I do. My biggest problem with that is that I wish it took into account where they are from financially or what school they went to rather than just straight up look at race, but for public employment I do understand that it would be VERY beneficial to have our public officials match the diversity of this fantastic state."
R_1fehoxyW2Eu5em8,58a623e90da7f10001de8553,white,I do not support Prop 16 because I want to keep discrimination illegal.
R_31z2ha3n6kclL9w,5f5e32a0d6a12c6857b8e127,white,"I don't support this because I think factoring race, sex, etc. would make these selections unfair and they should just be based on qualification."
R_1Fk7qhGgTagBJXr,5f59138d4d83151112f482ff,white,I support it because it for the best
R_323HIY6OSfXwUIl,5f50beb7b4a68023ccdcad07,white,"When government decided to make decisions based on race, sex and other, I believe this will have negative impact because racism then is inevitable."
R_2abLCl2SJ6bBNDi,5dd48444dd9a7447d224cc71,white,NA.
R_TvjY7lGTAqdUYdb,5c5c75d6329ee20001083061,white,I think there needs to be diversity in politics. Majority of the time most firms are chosen due to political connections rather than talent.
R_2AGf29TDhzPB3tN,5f7e2665c827ec0ce7190c2f,white,To me everyone has their opinion to vote for any candidate of their choice.
R_sj4402ZZGXPOYtX,5e6bdd2a3ea572199bb7f6b6,white,"I just want to make sure everyone gets a fair shake, although that will never happen completely.  Sometimes, looking at everyone/every group in the same way (i.e., no preference) is unfair, when the starting points are very different."
R_1k1b0cWiYrLl3SL,5f5c1272c6a95e405041365c,white,"I'm questionable about it because I don't think you should be allowed to consider someone's race, sex, color, or ethnicity when making decisions."
R_2TBsQYeAYbjsiBO,5e387a5c32667b0943276347,white,Because discrimination exists in the education system.
R_2Tu5wdUpizzveFo,5eeaae9d8b89801ce94dc448,white,I am concerned about how such decision-making policies might negatively impact the hiring of people based on their ability and suitability for the job rather than whether or not they fulfill a diversity quota. 
R_1NDmQZho4PzY1YT,58a202ac66e4640001c52bfd,white,"I fear that this will open a pandora's box where it can be used to discriminate against people because of their race, sex, color, or national origin. It may originate for the right reason, but end up doing more harm than good."
R_tK8Nhy6mVkli4N3,5f1ce886fe7ca35bf3a1abb1,white,"Equity involves equal and unbiased consideration of each individual. Prop 16 allows for outside factors to influence employment decisions, it is unfair. "
R_2dDPPd6g9x3cSEP,5f487aeef92292234068b342,white,I support this because if there are not diversity checks put in place there’s no reason for diversity to be a considering factor when making decisions. 
R_1LUaAaxjMCTtndi,5f4d92a4584ab6064be44ce5,white,"Affirmative action is a necessary move to create more justice in employment, education, and contracting. "
R_3sjGZvmNzNY8CH9,5e8eab0540aaf41584d9b1b9,white,Diversity just should not be a factor. Qualification should. 
R_3h3kPNv0xsZZcaZ,5d805a01b07709001a55f91d,white,I disagree even though it sounds inclusive just for the fact that decision making should not be biased on these factors. 
R_2xD9SD9HqfrABM0,5ebfa8e876e71738dd5eec17,white,The prop is unclear as to what exactly it would change. Is it the same as affirmative action?
R_D2g32KUbftfocqB,5f50a38bad423e2214ac0b0d,white,good for CA People
R_1f0EnDJ0LY5xxnK,5dd4717e8ed6bf469548363d,white,Honestly I think this is a terribly worded proposition.  Even while filling out my ballet I was confused on what this actually meant.  
R_2uHDbELjKvWlbk2,5f658f418c686c1096675a12,white,"Skin color should not affect hiring, decision making, schools etc.  it should be done on merit only"
R_10IcOyIKHtSLrLv,5f08bea1c1c4e111f286d7d1,white,It'll promote racial and gender equality in the work place
R_3Oe2pE03YuVsWvj,5f5f9da0926d9e016258e8fd,white,
R_RCVUdXVNfDGTdcd,5c5dba4ed86a7f000191e5d5,white,"i believe that employment should be based on skills and merit. the names and races, sex, ethnicity, etc... should be excluded from the application materials, so that a decision on based on their experience, skills, and education."
R_1E71lVzrl2VtCr6,5ca58726b9773b000155ef69,white,This Prop 16 allows for a closing of the gap of inequity
R_09rGztn2whn0RX3,5f50757781dfe71f995e3e27,white,this is not perfect
R_2CqXiKYs3cPFe34,5f70dc214d5f9b6e4a11ee48,white,I don't think we should be choosing people based on their race. We should choose the best person available no matter what they look like. I understand minorities have faced a lot of struggles in America and this bill won't just give out jobs to anyone but hiring based on race at all can lead to bias and is bad for the economy since it won't be the most efficient. Also does a rich black person deserve a spot over a poor white person? I think income should be more of a factor than race. 
R_3fGzMkOtqvESRAC,5f6859853448f94a27eceb98,white,I support CA proposition 16 cause it help everybody to get better chance in their life. This is the most reason to support.
R_2QtDxiGF0fo4VX1,5f7a43fe18c1f614b4529aa9,white,"People should be considered by qualifications, not skin color."
R_2upS0VkmIJ9mUzp,5f4f6931bd24e70120ecaf50,white,Because I believe we are all human we should forget about the color
R_1HnN07R6RVwXWRF,5f07dba182caac000c48bc84,white,Everyone deserves a fair shot in life. It is not fair to discriminate based on skin color.
R_3NR2uDjHw3Ukte4,5f54d00fbb2be4837760df12,white,"I'm all for quality living..since the proposition leans towards that, I support."
R_V26TPcUHjKK6n7P,5d2ffd36ad3457001943fc65,white,I do not support Proposition 16 because it seems like it's allowing discrimination to become legal. There's no real benefit to this as minorities should already have an equal chance as those who are just another color.
R_339cYBJ1HaEBr1A,5ad6d2543660ef00019b8ce9,white,"We all benefit from having varying life experiences and ideas in positions of power and other roles in society, so we should work to ensure we have more diversity in those positions. "
R_ukKWJvufB2Chlw5,5e80d8569d1bdf03449b0c2e,white,"I feel that no matter what the outcome of the proposition, diversity will always be a part of any consideration, even if it's only subconscious. By allowing diversity to be taken into account, it could possibly help limit discrimination against minorities by encouraging placement of the individuals. "
R_1JUPShtLKuWTFY4,5f58b3a559ff0d035d2ec46c,white,"Allowing diversity as a factor in public employment, education and contracting decisions, I believe is favourable as this will allow individuals from different race and sex to pursue their dreams without fear."
R_2RP4lgXs4g1LrNr,5f28f8b76f2b242403b8f994,white,"By making the law colorblind we are taking away the ability for the law to ensure fairness. If we allow everyone to see color and see how underrepresented and mistreated many groups are, we can improve the lives of many and start to fix some of the racial injustice out there."
R_2VrIHS24YvnPEg1,5efaddfc7053a5000a48587f,white,"I oppose it because I think the government should pick the best person for the job and not hire people just to meet some quotas.  If we want to fix inequality we should do so at the source, by giving people more opportunity and education."
R_pJBRVhnrieroTPb,5cb5f1e080ba1c0001790399,white,N/A.
R_1riBWa4rnzEMEdl,5f5a386d13a2240a3def5428,white,i support the proposition because it ensures no one group is left behind and equal participation for all
R_3OS6zVEuz1hZG49,5e82413b37e72496c1dd4349,white,It's time to get the finger of bias off the scales here.
